Wilayah,Dapil,Kecamatan,Kelurahan,TPS,PKB,Gerindra,PDIP,Golkar,NasDem,Garuda,Berkarya,PKS,Perindo,PPP,PSI,PAN,Hanura,Demokrat,PBB,PKPI
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 001,2,8,77,0,17,0,3,15,3,0,50,4,0,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 002,2,9,102,5,21,0,1,7,2,1,57,0,0,2,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 003,4,18,110,5,15,1,4,12,4,2,0,1,0,8,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 004,9,7,76,1,10,0,2,5,3,3,43,4,1,6,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 005,10,17,47,8,10,0,3,14,4,1,31,4,1,7,0,4
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 006,6,17,52,4,11,0,0,11,0,2,34,3,0,37,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 007,1,15,53,1,12,0,2,19,5,3,11,8,1,58,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 008,4,18,80,4,17,4,0,9,4,1,37,2,0,8,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 009,2,11,117,4,14,0,1,18,5,6,17,1,1,8,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 010,8,27,77,3,10,2,0,22,5,1,18,3,6,16,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 011,2,5,85,3,16,0,2,7,3,3,40,2,1,2,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 012,5,12,82,5,15,1,1,10,8,2,23,2,1,2,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 013,5,20,67,3,16,1,2,42,8,2,32,4,0,10,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 014,2,13,121,1,11,1,0,20,4,2,41,1,1,6,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 015,2,17,79,5,17,0,2,34,8,5,59,5,0,9,1,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 016,11,21,82,7,12,0,4,9,8,6,38,2,4,12,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 017,29,30,67,6,13,0,2,21,15,6,27,10,4,12,2,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 018,26,39,71,10,13,3,1,17,22,3,12,2,0,27,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 019,25,30,60,4,13,1,4,35,15,1,14,4,3,17,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 020,10,31,57,9,12,3,2,25,13,2,1,2,1,12,0,3
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 022,9,18,82,3,5,0,0,22,2,2,11,5,0,1,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 023,3,8,63,3,6,0,1,8,3,2,9,2,0,1,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 024,2,5,87,1,10,0,2,3,1,5,38,0,0,2,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 025,7,15,98,5,9,0,3,31,6,1,59,3,0,10,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 026,3,15,108,4,10,0,0,17,3,0,22,5,0,0,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 027,0,6,99,1,6,0,0,10,2,4,34,7,0,3,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 028,3,10,69,0,9,0,1,9,1,3,46,1,0,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 029,6,11,106,4,12,0,1,11,1,1,30,0,0,10,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 030,6,14,97,2,15,2,0,20,1,2,31,7,3,5,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 031,4,17,122,2,14,1,2,20,3,0,63,0,1,7,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 032,7,25,87,5,14,0,0,48,5,1,35,2,0,5,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 033,7,12,57,3,7,0,2,23,7,4,16,1,0,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 035,0,4,131,1,22,0,0,3,3,6,62,1,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 036,1,5,123,2,23,0,0,5,0,0,45,0,0,1,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 037,5,11,6,5,12,0,2,15,0,3,55,1,0,2,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 038,2,10,103,3,19,0,1,13,4,0,59,3,2,0,1,2
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 039,3,13,85,1,15,0,0,10,6,0,48,1,0,0,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 040,3,11,78,6,18,0,2,14,6,1,49,2,0,8,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 041,12,10,102,5,17,0,2,21,1,2,16,1,0,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 042,8,16,124,5,16,0,2,24,1,0,40,4,0,7,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 043,3,35,64,4,9,0,0,61,7,2,15,7,0,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 044,6,24,67,3,21,0,10,24,8,2,44,8,2,7,2,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 045,5,14,104,3,14,0,1,7,3,3,49,0,0,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 046,4,16,101,4,13,1,1,16,0,1,61,2,0,1,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 047,2,12,103,6,15,0,1,7,2,1,56,4,3,3,3,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 048,21,11,103,3,15,1,1,6,1,0,46,3,2,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 049,26,20,90,4,13,0,1,0,2,2,34,1,0,16,1,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 050,2,1,141,4,13,3,1,9,4,1,42,1,2,7,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 051,0,5,99,4,32,0,1,6,0,0,51,2,0,8,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 052,0,11,95,4,19,0,1,9,1,0,70,0,1,4,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 053,3,6,71,2,8,0,1,3,6,0,52,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 054,2,10,125,4,10,0,4,11,4,0,55,0,0,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 055,15,2,113,6,14,0,0,4,2,0,57,2,0,1,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 056,13,2,108,7,17,0,5,11,9,0,53,1,1,2,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 057,27,7,87,4,16,1,2,6,2,1,39,1,0,5,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 058,28,1,98,2,15,0,0,14,2,1,44,1,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 059,46,2,95,1,17,0,0,11,4,0,47,1,1,2,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 060,8,3,90,2,16,0,4,2,2,0,44,0,0,5,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 061,13,6,84,3,16,1,1,20,2,2,54,4,0,5,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 062,24,4,97,3,10,0,1,12,1,2,51,0,0,2,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 063,4,28,118,2,33,0,0,1,1,0,46,0,0,2,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 064,1,13,106,0,29,2,2,10,1,0,62,0,1,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 065,3,5,120,11,21,0,0,1,6,0,53,4,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 066,5,5,108,0,20,0,0,7,5,1,45,0,3,7,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 067,4,6,101,1,29,0,2,24,10,1,26,1,0,0,1,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 068,1,4,117,3,19,0,3,15,7,0,37,0,0,5,1,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 069,13,11,102,3,8,0,2,7,3,1,42,2,0,6,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 070,0,9,98,7,16,0,0,6,5,2,44,1,0,1,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 071,3,3,81,1,26,0,0,16,6,2,47,0,2,1,2,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 072,2,3,95,4,15,1,2,7,2,0,70,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 073,2,12,117,5,14,0,0,9,4,1,45,1,0,0,1,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 074,0,0,75,0,0,0,0,7,1,0,47,3,2,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 075,4,6,106,2,16,2,0,1,1,4,52,2,1,2,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 076,1,14,65,3,40,0,1,21,7,1,56,1,2,0,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 077,8,6,114,3,21,0,5,8,3,0,49,2,0,3,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 079,7,13,117,1,13,1,1,14,4,2,53,2,0,7,1,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 080,6,21,106,6,15,0,8,12,6,0,27,2,7,7,12,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 081,2,7,107,3,11,2,1,14,6,0,66,2,0,2,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 082,4,8,103,2,18,2,1,11,4,2,37,1,1,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 083,16,8,102,3,15,0,1,5,5,1,30,1,0,2,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 084,4,8,90,1,20,1,1,8,6,0,54,0,1,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 085,2,21,78,2,21,0,2,10,3,1,41,0,0,1,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 086,6,4,102,2,9,1,0,9,6,0,63,0,0,2,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 087,4,4,81,3,12,0,4,20,1,6,42,5,1,20,1,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 088,1,11,90,5,10,0,13,11,5,3,43,0,0,1,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 089,7,12,57,8,8,1,12,16,6,3,32,2,1,7,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 090,3,24,44,4,8,1,3,14,5,0,44,2,0,10,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 091,2,3,100,2,12,2,4,1,0,41,0,0,1,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 092,5,12,76,1,28,0,1,11,12,2,48,3,1,6,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 093,1,6,94,1,13,0,0,0,2,0,57,1,0,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 094,8,8,84,3,15,0,1,5,0,0,41,1,0,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 095,2,8,99,1,15,0,1,13,3,2,35,3,0,4,0,2
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 096,8,25,73,6,9,0,5,30,3,3,16,5,0,6,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 097,9,21,87,4,12,1,1,0,0,0,0,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 099,18,19,78,4,9,7,1,23,6,3,39,3,3,9,2,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 100,4,20,58,7,10,1,0,19,12,0,16,3,2,20,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 101,4,17,57,5,12,0,0,19,31,1,8,1,1,11,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 102,15,28,66,7,14,0,5,23,2,5,2,3,2,35,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 103,14,16,76,9,7,2,1,30,8,2,6,3,4,19,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 104,12,24,55,4,8,0,0,27,5,3,3,1,1,6,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 105,9,28,32,0,20,0,1,22,7,2,4,1,3,91,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 106,16,18,79,5,9,0,10,45,3,5,13,6,0,6,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 107,8,15,36,4,10,0,2,49,63,3,13,3,2,14,2,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 108,11,38,43,7,10,0,0,47,4,3,5,5,4,10,3,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 109,7,30,56,9,17,0,0,26,6,5,4,4,0,6,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 110,16,50,67,7,17,0,2,23,6,4,3,11,3,19,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 111,4,62,31,2,6,2,3,64,33,3,3,8,2,25,2,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 112,24,28,70,7,10,0,3,29,30,11,4,6,1,7,2,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 113,12,35,56,11,8,1,0,31,24,4,9,4,1,9,2,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 114,7,37,45,3,1,0,0,35,18,12,8,5,2,21,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 115,1,1,80,3,15,0,0,5,0,1,71,0,1,1,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 116,2,1,79,3,6,0,1,1,1,0,72,0,0,0,2,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 117,5,9,87,2,15,0,0,23,2,1,37,4,0,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 118,15,101,38,10,11,1,1,8,2,0,3,8,0,6,1,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 119,2,7,82,5,5,0,0,12,3,0,56,1,0,1,0,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 120,6,17,18,3,11,0,0,16,3,1,2,0,4,59,0,0
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 121,14,24,63,0,6,1,1,31,9,7,9,2,0,13,1,1
Jakarta Utara,3,Pademangan,Pademangan Timur,TPS 122,5,18,52,3,11,0,2,17,6,6,10,2,3,7,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 001,6,37,77,5,4,1,0,14,5,1,39,4,1,10,3,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 002,3,18,70,5,14,0,1,12,3,0,30,4,0,6,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 003,5,22,86,2,17,0,1,9,1,2,63,10,0,4,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 004,8,10,71,13,20,0,2,53,6,11,9,26,1,1,0,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 005,7,13,82,8,5,0,16,2,0,2,2,0,19,0,0,46
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 006,3,6,53,1,14,1,0,81,5,6,35,8,0,0,3,2
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 007,6,27,80,6,15,1,0,55,5,2,25,3,0,1,1,3
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 008,0,8,102,2,11,0,0,21,2,0,63,0,0,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 009,17,23,50,15,7,0,0,23,4,0,33,6,0,6,0,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 010,29,49,31,11,2,0,0,59,5,6,10,13,1,18,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 011,45,23,61,8,8,0,5,24,0,1,21,6,0,7,2,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 012,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 013,0,21,37,25,9,0,1,15,1,1,15,2,0,2,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 014,1,15,30,19,12,2,2,12,0,0,15,2,2,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 015,15,16,43,14,6,2,29,5,6,1,29,6,1,4,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 017,25,34,42,14,13,1,1,11,5,0,43,8,0,6,1,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 018,9,41,42,29,7,7,4,13,2,2,21,3,0,7,1,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 019,32,60,44,10,10,8,4,17,1,2,11,3,0,11,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 020,2,13,107,11,13,0,0,3,1,1,77,3,0,3,0,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 021,0,0,120,2,2,0,0,0,1,1,99,1,0,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 022,5,0,0,0,0,0,0,0,0,2,35,2,0,3,0,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 023,7,20,78,1,15,0,1,0,16,1,49,5,4,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 024,8,26,64,2,6,0,1,1,2,1,26,9,2,1,0,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 025,9,52,5,6,18,0,2,2,8,6,42,19,1,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 026,5,19,87,5,24,0,1,17,4,6,26,7,1,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 027,4,52,83,4,15,5,0,15,3,2,38,5,1,8,1,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 028,4,59,71,4,16,1,0,29,8,3,13,4,0,10,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 029,4,34,81,12,12,1,1,17,1,0,50,8,0,2,1,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 030,3,14,112,3,27,1,1,11,7,0,40,11,2,3,0,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 031,1,13,101,5,21,0,0,1,6,2,48,8,0,8,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 032,7,42,57,2,14,0,1,16,9,4,41,8,0,21,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 033,5,37,93,4,12,0,1,15,3,0,32,2,4,11,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 034,11,0,49,4,25,1,1,12,6,2,41,6,3,16,0,2
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 035,6,32,71,2,13,0,1,11,2,0,15,6,3,6,1,2
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 036,5,9,89,2,18,0,1,8,5,0,50,2,2,4,1,5
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 037,8,21,86,10,12,0,0,16,1,1,33,1,0,7,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 038,6,25,80,9,12,0,2,16,4,1,20,3,1,14,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 039,9,14,67,23,7,4,1,32,6,0,30,4,0,4,1,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 040,40,20,83,4,5,0,2,25,1,1,33,0,0,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 041,2,8,64,16,13,1,2,43,0,3,22,6,0,10,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 042,11,37,71,5,6,0,4,21,3,8,3,7,2,15,0,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 043,7,23,109,2,21,1,1,21,5,5,19,8,0,5,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 044,33,48,70,6,5,0,0,35,10,2,5,5,1,9,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 045,7,55,65,4,4,1,2,30,2,6,6,6,0,11,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 046,5,24,79,2,9,0,0,26,2,0,47,4,1,7,1,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 048,20,31,85,5,9,0,0,13,4,1,38,1,0,1,1,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 049,6,42,79,2,4,0,1,4,4,2,35,9,1,9,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 050,5,17,83,4,9,2,0,7,2,0,41,2,0,6,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 051,5,29,58,5,11,0,1,10,2,6,10,6,7,19,2,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 052,11,54,54,10,5,2,1,32,5,1,15,3,1,17,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 053,16,22,62,11,18,1,3,19,9,4,15,3,1,7,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 054,21,35,56,8,18,4,1,19,5,2,14,2,2,8,0,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 055,6,31,64,4,9,1,2,8,2,1,22,21,0,8,1,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 056,10,35,58,8,36,0,2,12,2,5,23,5,0,3,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 057,32,29,81,3,15,3,1,20,7,4,24,3,3,9,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 058,22,26,80,2,12,0,0,10,6,3,20,5,0,2,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 059,15,36,101,4,16,2,0,19,4,0,25,2,0,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 060,35,23,84,3,10,0,1,9,1,1,45,2,1,2,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 061,12,13,101,12,15,0,0,21,4,1,37,5,0,8,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 063,42,20,50,0,13,0,2,33,0,5,26,7,3,7,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 065,26,14,87,2,16,0,0,5,8,3,24,1,1,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 066,22,35,78,6,14,2,3,12,2,1,34,6,1,5,1,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 067,5,22,104,2,10,0,5,10,7,2,47,3,0,6,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 068,0,32,61,6,58,0,3,9,3,0,19,1,0,11,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 069,7,33,57,7,52,0,3,22,3,1,15,9,0,8,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 070,4,4,82,1,1,2,1,17,3,1,17,1,5,10,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 071,4,58,51,7,23,1,5,18,10,7,13,5,1,20,0,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 072,8,63,58,4,19,0,3,12,5,4,19,8,1,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 073,5,56,72,6,23,0,3,12,4,6,21,14,1,3,1,1
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 074,8,38,65,4,11,0,4,18,3,4,15,5,0,5,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 075,9,56,96,7,4,1,0,15,2,2,27,5,0,7,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 076,18,28,84,2,23,0,0,20,3,0,21,0,0,5,3,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 078,3,51,54,6,25,1,3,34,3,6,8,13,0,15,1,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 079,36,37,51,9,24,0,0,19,2,4,14,7,1,9,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 080,29,26,70,9,5,2,1,8,4,1,8,4,0,8,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 081,13,3,41,5,6,0,8,19,4,5,10,1,3,8,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 082,0,43,31,2,17,1,0,22,4,3,3,7,1,75,4,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 083,3,44,15,2,23,0,1,20,1,3,6,7,0,29,4,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 084,5,47,56,2,6,0,2,24,13,3,12,4,2,18,1,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 085,12,84,36,27,10,1,0,20,4,8,15,6,1,12,1,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 086,0,58,52,5,16,1,4,12,3,3,18,2,0,15,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 087,2,43,75,6,12,1,0,15,3,17,17,5,0,4,0,2
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 088,2,36,96,6,23,0,1,6,5,7,24,3,4,0,4,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 089,4,90,84,4,8,0,0,27,5,8,27,4,1,6,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 090,5,17,109,13,15,0,1,9,7,2,47,5,0,1,2,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 091,11,37,73,2,12,1,0,9,3,1,39,6,0,4,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 092,3,24,66,4,11,0,0,12,3,1,36,6,0,2,1,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 093,2,43,56,33,5,0,0,18,10,4,24,2,1,6,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 094,5,37,63,12,9,1,2,3,6,16,0,1,4,3,0,0
Jakarta Utara,3,Pademangan,Pademangan Barat,TPS 095,12,50,62,10,8,2,2,30,3,2,9,2,0,13,1,0
